alpha, beta, c, latent_features, steps, NDCG
100, 0.01, 0.1, 30, 150, 0.4778104056049557
100, 0.01, 0.1, 30, 200, 0.47194841929577486
100, 0.01, 0.1, 30, 250, 0.4737694780978029
100, 0.01, 0.1, 50, 100, 0.3717983254622632
100, 0.01, 0.1, 50, 150, 0.33850804189474215
100, 0.01, 0.1, 50, 200, 0.35218166004499013
100, 0.01, 0.1, 50, 250, 0.35451577179535854
100, 0.01, 0.1, 70, 100, 0.28350984069119295
100, 0.01, 0.1, 70, 150, 0.2536537244115466
100, 0.01, 0.1, 70, 200, 0.2533056101238823
100, 0.01, 0.1, 70, 250, 0.23492715721487656
100, 0.01, 0.1, 90, 100, 0.3305571725922381
100, 0.01, 0.1, 90, 150, 0.28814240746147335
100, 0.01, 0.1, 90, 200, 0.2645476255244184
100, 0.01, 0.1, 90, 250, 0.2423043239516776
100, 0.01, 0.1, 110, 100, 0.3344854256309425
100, 0.01, 0.1, 110, 150, 0.3558621227317397
100, 0.01, 0.1, 110, 200, 0.29492913134248055
100, 0.01, 0.1, 110, 250, 0.29050769367026186
100, 0.01, 0.01, 3, 100, 0.21901420790144033
100, 0.01, 0.01, 3, 150, 0.1950372401442699
100, 0.01, 0.01, 3, 200, 0.17844818671528917
100, 0.01, 0.01, 3, 250, 0.22705320461368914
100, 0.01, 0.01, 10, 100, 0.3518351234015767
100, 0.01, 0.01, 10, 150, 0.38773275160256643
100, 0.01, 0.01, 10, 200, 0.39525133002638946
100, 0.01, 0.01, 10, 250, 0.40341533000033486
100, 0.01, 0.01, 30, 100, 0.44961449467744957
100, 0.01, 0.01, 30, 150, 0.45337790163276176
100, 0.01, 0.01, 30, 200, 0.47012623631169936
100, 0.01, 0.01, 30, 250, 0.4839645036207469
100, 0.01, 0.01, 50, 100, 0.38358265737237557
100, 0.01, 0.01, 50, 150, 0.3702465787849291
100, 0.01, 0.01, 50, 200, 0.38132459007909636
100, 0.01, 0.01, 50, 250, 0.3625287997850517
100, 0.01, 0.01, 70, 100, 0.257721175651561
100, 0.01, 0.01, 70, 150, 0.23732973574720162
100, 0.01, 0.01, 70, 200, 0.23191523417436183
100, 0.01, 0.01, 70, 250, 0.21484843537403303
100, 0.01, 0.01, 90, 100, 0.2894407978479047
100, 0.01, 0.01, 90, 150, 0.2854259948559689
100, 0.01, 0.01, 90, 200, 0.264171465844649
100, 0.01, 0.01, 90, 250, 0.2603307129133401
100, 0.01, 0.01, 110, 100, 0.30373028551362513
100, 0.01, 0.01, 110, 150, 0.31609921326302726
100, 0.01, 0.01, 110, 200, 0.30619367187073465
100, 0.01, 0.01, 110, 250, 0.3301998733244733
100, 0.0001, 100, 3, 100, 0.25147524116619224
100, 0.0001, 100, 3, 150, 0.24190522032078415
100, 0.0001, 100, 3, 200, 0.269250705574947
100, 0.0001, 100, 3, 250, 0.271641427821894
100, 0.0001, 100, 10, 100, 0.3214105361919494
100, 0.0001, 100, 10, 150, 0.33008294515343806
100, 0.0001, 100, 10, 200, 0.31804235528015623
100, 0.0001, 100, 10, 250, 0.32076058592067397
100, 0.0001, 100, 30, 100, 0.3390915825073726
100, 0.0001, 100, 30, 150, 0.3282313231337715
100, 0.0001, 100, 30, 200, 0.33545995319358196
100, 0.0001, 100, 30, 250, 0.3106630531218483
100, 0.0001, 100, 50, 100, 0.3843889740816108
100, 0.0001, 100, 50, 150, 0.3719698693603818
