alpha, beta, latent_features, steps, C, NDCG
100000000.0, 1000000.0, 3, 1, 0.01, 0.06527164256564942
100000000.0, 1000000.0, 3, 1, 0.001, 0.1065686146507153
100000000.0, 1000000.0, 3, 1, 0.0001, 0.07896702262201305
100000000.0, 1000000.0, 3, 1, 1e-05, 0.061236899150607434
100000000.0, 1000000.0, 3, 1, 1e-06, 0.06893494401237646
100000000.0, 1000000.0, 3, 1, 0, 0.10245746985214237
100000000.0, 1000000.0, 3, 50, 1000, 0.13188130321058833
100000000.0, 1000000.0, 3, 50, 100, nan
100000000.0, 1000000.0, 3, 50, 1, 0.1464312882718076
100000000.0, 1000000.0, 3, 50, 0.1, 0.112463879324399
100000000.0, 1000000.0, 3, 50, 0.01, 0.23050553942521443
100000000.0, 1000000.0, 3, 50, 0.001, 0.25452886649447093
100000000.0, 1000000.0, 3, 50, 0.0001, 0.30787523034295583
100000000.0, 1000000.0, 3, 50, 1e-05, 0.22950461405431402
100000000.0, 1000000.0, 3, 50, 1e-06, 0.2548258091282762
100000000.0, 1000000.0, 3, 50, 0, 0.26089161413476747
100000000.0, 1000000.0, 3, 100, 1000, 0.15431167537105694
100000000.0, 1000000.0, 3, 100, 100, nan
100000000.0, 1000000.0, 3, 100, 1, 0.034956551147108474
100000000.0, 1000000.0, 3, 100, 0.1, 0.08335820895101641
100000000.0, 1000000.0, 3, 100, 0.01, 0.32865451146147495
100000000.0, 1000000.0, 3, 100, 0.001, 0.28093190098481974
100000000.0, 1000000.0, 3, 100, 0.0001, 0.34541296526701715
100000000.0, 1000000.0, 3, 100, 1e-05, 0.26005214935718757
100000000.0, 1000000.0, 3, 100, 1e-06, 0.35671770327599156
100000000.0, 1000000.0, 3, 100, 0, 0.2976876669943051
100000000.0, 1000000.0, 3, 150, 1000, 0.14730503316612778
100000000.0, 1000000.0, 3, 150, 100, nan
100000000.0, 1000000.0, 3, 150, 1, 0.0518051810096371
100000000.0, 1000000.0, 3, 150, 0.1, 0.08868627671092226
100000000.0, 1000000.0, 3, 150, 0.01, 0.3256474967082753
100000000.0, 1000000.0, 3, 150, 0.001, 0.34958228733595215
100000000.0, 1000000.0, 3, 150, 0.0001, 0.34802612104980485
100000000.0, 1000000.0, 3, 150, 1e-05, 0.3505109827418793
100000000.0, 1000000.0, 3, 150, 1e-06, 0.3145065868704059
100000000.0, 1000000.0, 3, 150, 0, 0.3492155076120598
100000000.0, 1000000.0, 3, 200, 1000, 0.1419151582874697
100000000.0, 1000000.0, 3, 200, 100, nan
100000000.0, 1000000.0, 3, 200, 1, 0.04606715709044661
100000000.0, 1000000.0, 3, 200, 0.1, 0.11110004362196488
100000000.0, 1000000.0, 3, 200, 0.01, 0.38236359781301565
100000000.0, 1000000.0, 3, 200, 0.001, 0.42895188300484915
100000000.0, 1000000.0, 3, 200, 0.0001, 0.35180735728858004
100000000.0, 1000000.0, 3, 200, 1e-05, 0.39031756162301273
100000000.0, 1000000.0, 3, 200, 1e-06, 0.36130919791795735
100000000.0, 1000000.0, 3, 200, 0, 0.38874138789748064
100000000.0, 1000000.0, 5, 1, 1000, 0.054740946137602046
100000000.0, 1000000.0, 5, 1, 100, 0.07572268666068567
100000000.0, 1000000.0, 5, 1, 1, 0.07104759278653233
100000000.0, 1000000.0, 5, 1, 0.1, 0.0849565762185329
100000000.0, 1000000.0, 5, 1, 0.01, 0.08797933435572633
100000000.0, 1000000.0, 5, 1, 0.001, 0.08641116784619177
100000000.0, 1000000.0, 5, 1, 0.0001, 0.12445619953281897
100000000.0, 1000000.0, 5, 1, 1e-05, 0.07991230975125226
100000000.0, 1000000.0, 5, 1, 1e-06, 0.057038875635065656
100000000.0, 1000000.0, 5, 1, 0, 0.08061169195987487
100000000.0, 1000000.0, 5, 50, 1000, 0.16527052636293382
100000000.0, 1000000.0, 5, 50, 100, nan
100000000.0, 1000000.0, 5, 50, 1, 0.07605451954344479
100000000.0, 1000000.0, 5, 50, 0.1, 0.23551768943534473
100000000.0, 1000000.0, 5, 50, 0.01, 0.29387276584228544
100000000.0, 1000000.0, 5, 50, 0.001, 0.2883142747367124
100000000.0, 1000000.0, 5, 50, 0.0001, 0.30872548610671424
100000000.0, 1000000.0, 5, 50, 1e-05, 0.30590124365022797
100000000.0, 1000000.0, 5, 50, 1e-06, 0.29164382916273207
100000000.0, 1000000.0, 5, 50, 0, 0.3117139630654933
100000000.0, 1000000.0, 5, 100, 1000, 0.15376642844535987
100000000.0, 1000000.0, 5, 100, 100, nan
100000000.0, 1000000.0, 5, 100, 1, 0.05280636400576944
100000000.0, 1000000.0, 5, 100, 0.1, 0.09119568556611723
100000000.0, 1000000.0, 5, 100, 0.01, 0.350018195650837
100000000.0, 1000000.0, 5, 100, 0.001, 0.32349097148034256
100000000.0, 1000000.0, 5, 100, 0.0001, 0.31923824699598663
100000000.0, 1000000.0, 5, 100, 1e-05, 0.3203744688177521
100000000.0, 1000000.0, 5, 100, 1e-06, 0.35947927091879145
100000000.0, 1000000.0, 5, 100, 0, 0.36309665724383927
100000000.0, 1000000.0, 5, 150, 1000, nan
100000000.0, 1000000.0, 5, 150, 100, nan
100000000.0, 1000000.0, 5, 150, 1, 0.05875656343710692
100000000.0, 1000000.0, 5, 150, 0.1, 0.12444232429634614
100000000.0, 1000000.0, 5, 150, 0.01, 0.3316713396100168
100000000.0, 1000000.0, 5, 150, 0.001, 0.3867190313879666
100000000.0, 1000000.0, 5, 150, 0.0001, 0.38145473234079674
